Question,Answer
What degrees are offered at Kepler? ,"Kepler, a Non-Governmental Organization (NGO), started operating in Rwanda in 2013 under Generation Rwanda’s attributions. Now, it is legally registered in Rwanda and Kepler College is the higher learning institution registered and accredited in Rwanda which is operating under Kepler. 

Kepler College has various programs: (1) ""Kepler College - SNHU program"" by which it offers an elite credential to its graduates through a close partnership with Southern New Hampshire University’s innovative College for America program. (2) Higher Education Council (HEC) accredited degrees: Currently, Kepler College has only two HEC Rwanda accreditted degrees which are the Bachelor of Arts in Project Management and the Bachelor of Science in Business Analytics. "
What are the requirements for admission ,"The admission requirements vary depending on the program you are interested in. For Kepler College-Southern New Hampshire University (SNHU) degrees, refer to the Kepler website. For HEC-accredited degrees (Bachelor of Arts in Project Management and Bachelor of Science in Business Analytics), refer to the Kepler College website/apply tab."
Where can I find the application link? ,"The application link is always on our website whenever it is open, you get notified is you have subscribed. For Kepler College-Southern New Hampshire University (SNHU) degrees, refer to the Kepler website. For HEC-accredited degrees (Bachelor of Arts in Project Management and Bachelor of Science in Business Analytics), refer to the Kepler College website/apply tab."
Is it possible to get more information about the application process? ,"Yes, it is possible to get more information about the application. If you are interested, you can do any of the following to learn more about Kepler College degree programs:

1) Visit Kepler and/or Kepler College websites
2) Contact the admission team at admissions@keplercollege.ac.rw and/or +250789773042
3) Contact the Kepler College reception desk at info@kepler.org, info@keplercollege.ac.rw, +250782637318
4) Visit Kepler College Campus located in Gasabo District, Kinyinya Sector at KG 29 Ave 16."
Are foreigners allowed to apply for admission? ,"Kepler College is committed to providing equal opportunities for all applicants, regardless of cultural background, race, ethnicity, age, gender, nationality, or other personal characteristics. We welcome international applicants and ensure that all qualified candidates are given an equal chance for admission, based solely on their ability to meet our admission requirements. At Kepler College, diversity and inclusion are core values that enrich our learning environment and foster a vibrant, global community."
Can I apply before getting my High School certificate? ,"No, you cannot be able to apply when you do not have either high school certificate or result slip becuase it is among the application and admission requirements in general. "
How many years students study to get their Bachelor degrees,All degree programs that are offered at Kepler College lasts for three academic years (3 years).
How can I get support on my application? ,"You can do either of the following to receive support during your application process:

1) Contact the admission team at admissions@keplercollege.ac.rw and/or +250789773042
2) Contact the Kepler College reception desk at info@kepler.org, info@keplercollege.ac.rw, +250782637318
3) Visit Kepler College Campus located in Gasabo District, Kinyinya Sector at KG 29 Ave 16."
What happens after submitting my application to Kepler College? ,"After submitting your application, you will receive a confirmation notice indicating that your application has been sent to the Kepler College Admissions Office for review. During the application review process, you may receive a phone call and/or email requesting additional information to support your application. Otherwise, official communication regarding the next steps will be sent via email, with reminders sent via SMS."
How do I know that I have been admitted to Kepler College? ,"If you meet the admission requirements, you will receive an email from admissions@keplercollege.ac.rw with details about the next steps."
Where is Kepler College Located? ,"Kepler College is located in Kigali city, Gasabo district and Kinyinya sector (KG 29 Ave 16)"
Can I visit Kepler College campus for more information regarding the application process? ,"Yes, you can visit us at the campus and get more information regarding the application process. Kepler College is located in Kigali city, Gasabo district and Kinyinya sector (KG 29 Ave 16)"
How many Intake are there in academic year?,"Admissions are conducted separately for each of our three programs, with one intake per program each year. Admission timelines may vary, so please check our website for the specific timeline of the program you wish to join."
How can I apply to Kepler College?,"Applications to Kepler College are submitted online through the official website. Applicants need to create an account, complete the application form, and upload required documents, such as academic transcripts and certificates. Click the 'Apply' button on our website to access the application form."
What documents are required for the application?,"Applicants need to submit copies of their high school certificates, transcripts, national ID or passport, and A'level reports cards or equivalence"
When is the application deadline?,The application deadlines vary depending on the intake period. It is important to check the website or contact the admissions office for the most accurate and up-to-date deadlines.
Does Kepler College offer scholarships?,
What is the selection process like?,"The selection process includes an initial screening of submitted documents, followed by an entrance exam or interview to assess the applicant's academic potential and fit for the program."
Is there an application fee?,
How long does the admission process take?,"The admission process typically takes a few weeks after the application deadline, including document review, interviews, and final decision notifications."
What academic programs are offered?,"Kepler College offers programs in various fields, including Business Administration, Communication, Project Management, and Business Analytics. Full details of the programs are available on the website."
What are the eligibility criteria for enrolling in the Project management or Business Analytics Program?,"To enroll in either program, applicants must have completed secondary education and posses a high school diploma with at least two principle passes. Additionally, a strong academic record, proficiency in English, and basic knowledge in mathematics or related subjects are required. Note that for Business Analytics program, a foundational understanding of statistics or computing may be beneficial. "
Is there an entrance exam or assessment for the registration process? ,"Yes, Kepler requires applicants to complete an entrance assessment as part of the admission process. This typically includes evaluating the applicants' English proficiency and critical thinking or cognitive skills. However the nature of the assessment may vary from year to year."
How can I apply for the Project Management or Business Analytics programs?,"You can apply online through Kepler College's admissions prtal by filling out the application form. Ensure to upload necessary documents sucha as your academic certificates, a copy of your ID, and high school report as per required in the form. "
Is there an application fee?,"Yes, an application fee is required as part of the registration process. Be sure to check the most recent fee structure on the Keple"
Can I apply for both programs simultaneously?,"No, applicants are encouraged to apply for one program at a time. "
Is there an age limit for applying?,"No, there is no age limit. Both younger and mature students are welcome to apply, as long as they meet the academic and language requirements. "
Do I need work experience to apply?,"Work experience is not a mandatory requirement for either program, although it may be beneficial, especially for the Project Management program. Some applicants may have the opportunity to provide professional references. "
Are there options for part time or distance learning?,"Kepler College does not offer flexible learning schedules in terms of part time or distance learning. Neverthless, all content is uploaded on our LMS for the students to get access lessons everywhere at anytime. "
What langugage are the courses taught in?,"All courses are taught in English, so a good command of the language is required for success in the program. "
